chromosome,gene_id,locus_tag,gene_name,cds_start,cds_end,strand,product,protein_id,cds_length
NC_000962.3,Rv0094c,Rv0094c,,103713,104663,-,hypothetical protein,NP_214608.1,951
NC_000962.3,Rv0095c,Rv0095c,,104808,105215,-,hypothetical protein,NP_214609.1,408
NC_000962.3,Rv0096,Rv0096,PPE1,105324,106712,+,PPE family protein PPE1,YP_177690.1,1389
NC_000962.3,Rv0097,Rv0097,,106734,107600,+,oxidoreductase,NP_214611.1,867
NC_000962.3,Rv0098,Rv0098,fcoT,107600,108148,+,fatty acyl CoA thioesterase FcoT,NP_214612.1,549
NC_000962.3,Rv0099,Rv0099,fadD10,108156,109775,+,fatty-acid--CoA ligase FadD10,NP_214613.1,1620
NC_000962.3,Rv0100,Rv0100,,109783,110016,+,hypothetical protein,NP_214614.1,234
NC_000962.3,Rv0101,Rv0101,nrp,110001,117536,+,peptide synthetase Nrp,NP_214615.1,7536
NC_000962.3,Rv0102,Rv0102,,117714,119696,+,integral membrane protein,NP_214616.1,1983
NC_000962.3,Rv0103c,Rv0103c,ctpB,119918,122173,-,cation-transporter P-type ATPase B,NP_214617.1,2256
NC_000962.3,Rv0104,Rv0104,,122317,123828,+,hypothetical protein,NP_214618.1,1512
NC_000962.3,Rv0105c,Rv0105c,rpmB1,123983,124264,-,50S ribosomal protein L28,YP_177691.1,282
NC_000962.3,Rv0106,Rv0106,,124374,125567,+,hypothetical protein,NP_214620.1,1194
NC_000962.3,Rv0107c,Rv0107c,ctpI,125646,130541,-,cation-transporter ATPase I,NP_214621.1,4896
NC_000962.3,Rv0108c,Rv0108c,,130898,131104,-,hypothetical protein,NP_214622.1,207
NC_000962.3,Rv0109,Rv0109,PE_PGRS1,131382,132869,+,PE-PGRS family protein PE_PGRS1,YP_177692.1,1488
NC_000962.3,Rv0110,Rv0110,,133020,133766,+,integral membrane protein,NP_214624.1,747
NC_000962.3,Rv0111,Rv0111,,133950,136004,+,acyltransferase,NP_214625.1,2055
NC_000962.3,Rv0112,Rv0112,gca,136289,137242,+,"GDP-mannose 4,6-dehydratase",NP_214626.1,954
NC_000962.3,Rv0113,Rv0113,gmhA,137319,137906,+,phosphoheptose isomerase,NP_214627.1,588
NC_000962.3,Rv0114,Rv0114,gmhB,137941,138510,+,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase",NP_214628.1,570
NC_000962.3,Rv0115,Rv0115,hddA,138513,139670,+,D-alpha-D-heptose-7-phosphate kinase HddA,NP_214629.1,1158
NC_000962.3,Rv0115a,Rv0115a,,139956,140141,+,hypothetical protein,YP_009030027.1,186
NC_000962.3,Rv0116c,Rv0116c,ldtA,140270,141022,-,"L,D-transpeptidase LdtA",NP_214630.1,753
NC_000962.3,Rv0117,Rv0117,oxyS,141200,142141,+,oxidative stress response regulatory protein OxyS,NP_214631.1,942
NC_000962.3,Rv0118c,Rv0118c,oxcA,142131,143876,-,oxalyl-CoA decarboxylase OxcA,NP_214632.1,1746
NC_000962.3,Rv0119,Rv0119,fadD7,144049,145623,+,fatty-acid--CoA ligase FadD7,NP_214633.1,1575
NC_000962.3,Rv0120c,Rv0120c,fusA2,145630,147771,-,elongation factor G,NP_214634.1,2142
NC_000962.3,Rv0121c,Rv0121c,,147911,148342,-,hypothetical protein,NP_214635.1,432
NC_000962.3,Rv0122,Rv0122,,148491,148856,+,hypothetical protein,NP_214636.1,366
NC_000962.3,Rv0123,Rv0123,,148856,149221,+,hypothetical protein,NP_214637.1,366
NC_000962.3,Rv0124,Rv0124,PE_PGRS2,149533,150993,+,PE-PGRS family protein PE_PGRS2,YP_177693.1,1461
NC_000962.3,Rv0125,Rv0125,pepA,151148,152212,+,serine protease PepA,NP_214639.1,1065
NC_000962.3,Rv0126,Rv0126,treS,152324,154126,+,trehalose synthase/amylase TreS,NP_214640.1,1803
NC_000962.3,Rv0127,Rv0127,mak,154232,155596,+,maltokinase,NP_214641.1,1365
NC_000962.3,Rv0128,Rv0128,,155667,156443,+,transmembrane protein,NP_214642.1,777
NC_000962.3,Rv0129c,Rv0129c,fbpC,156581,157600,-,diacylglycerol acyltransferase/mycolyltransferase Ag85C,YP_177694.1,1020
NC_000962.3,Rv0130,Rv0130,htdZ,157847,158299,+,3-hydroxyl-thioester dehydratase,NP_214644.1,453
NC_000962.3,Rv0131c,Rv0131c,fadE1,158318,159658,-,acyl-CoA dehydrogenase FadE1,NP_214645.1,1341
NC_000962.3,Rv0132c,Rv0132c,fgd2,159703,160782,-,F420-dependent glucose-6-phosphate dehydrogenase,NP_214646.1,1080
NC_000962.3,Rv0133,Rv0133,,160869,161471,+,GCN5-like N-acetyltransferase,NP_214647.1,603
NC_000962.3,Rv0134,Rv0134,ephF,161771,162670,+,epoxide hydrolase EphF,NP_214648.1,900
NC_000962.3,Rv0135c,Rv0135c,,162647,163249,-,transcriptional regulator,NP_214649.1,603
NC_000962.3,Rv0136,Rv0136,cyp138,163366,164688,+,cytochrome P450 Cyp138,NP_214650.1,1323
NC_000962.3,Rv0137c,Rv0137c,msrA,164715,165260,-,peptide methionine sulfoxide reductase MsrA,NP_214651.1,546
NC_000962.3,Rv0138,Rv0138,,165323,165823,+,hypothetical protein,NP_214652.1,501
NC_000962.3,Rv0139,Rv0139,,165827,166846,+,oxidoreductase,NP_214653.1,1020
NC_000962.3,Rv0140,Rv0140,,166910,167287,+,hypothetical protein,NP_214654.1,378
NC_000962.3,Rv0141c,Rv0141c,,167274,167681,-,hypothetical protein,NP_214655.1,408
NC_000962.3,Rv0142,Rv0142,,167711,168634,+,hypothetical protein,NP_214656.1,924
NC_000962.3,Rv0143c,Rv0143c,,168707,170182,-,transmembrane protein,NP_214657.1,1476
NC_000962.3,Rv0144,Rv0144,,170284,171123,+,transcriptional regulator,NP_214658.1,840
NC_000962.3,Rv0145,Rv0145,,171215,172165,+,S-adenosylmethionine-dependent methyltransferase,NP_214659.1,951
NC_000962.3,Rv0146,Rv0146,,172211,173140,+,S-adenosylmethionine-dependent methyltransferase,NP_214660.1,930
NC_000962.3,Rv0147,Rv0147,,173238,174755,+,aldehyde dehydrogenase,NP_214661.1,1518
NC_000962.3,Rv0148,Rv0148,,174833,175690,+,short-chain type dehydrogenase/reductase,NP_214662.1,858
NC_000962.3,Rv0149,Rv0149,,175700,176665,+,quinone oxidoreductase,NP_214663.1,966
NC_000962.3,Rv0150c,Rv0150c,,176668,176952,-,hypothetical protein,NP_214664.1,285
NC_000962.3,Rv0151c,Rv0151c,PE1,177546,179309,-,PE family protein PE1,YP_177695.1,1764
NC_000962.3,Rv0152c,Rv0152c,PE2,179322,180896,-,PE family protein PE2,YP_177696.1,1575
NC_000962.3,Rv0153c,Rv0153c,ptbB,181158,181985,-,phosphotyrosine protein phosphatase,NP_214667.1,828
NC_000962.3,Rv0154c,Rv0154c,fadE2,181990,183198,-,acyl-CoA dehydrogenase FadE2,NP_214668.1,1209
NC_000962.3,Rv0155,Rv0155,pntAa,183622,184719,+,NAD(P) transhydrogenase subunit alpha PntAa,NP_214669.1,1098
NC_000962.3,Rv0156,Rv0156,pntAb,184723,185052,+,NAD(P) transhydrogenase subunit alpha PntAb,NP_214670.1,330
NC_000962.3,Rv0157,Rv0157,pntB,185052,186476,+,NAD(P) transhydrogenase subunit beta PntB,NP_214671.1,1425
NC_000962.3,Rv0157A,Rv0157A,,186498,186623,-,hypothetical protein,YP_007408797.1,126
NC_000962.3,Rv0158,Rv0158,,186785,187426,+,transcriptional regulator,NP_214672.1,642
NC_000962.3,Rv0159c,Rv0159c,PE3,187436,188839,-,PE family protein PE3,YP_177697.1,1404
NC_000962.3,Rv0160c,Rv0160c,PE4,188934,190439,-,PE family protein PE4,YP_177698.1,1506
NC_000962.3,Rv0161,Rv0161,,190607,191953,+,oxidoreductase,NP_214675.1,1347
NC_000962.3,Rv0162c,Rv0162c,adhE1,191987,193135,-,zinc-type alcohol dehydrogenase subunit E,YP_177699.1,1149
NC_000962.3,Rv0163,Rv0163,,193117,193569,+,hypothetical protein,NP_214677.1,453
NC_000962.3,Rv0164,Rv0164,TB18.5,193626,194108,+,hypothetical protein,YP_177617.1,483
NC_000962.3,Rv0165c,Rv0165c,mce1R,194147,194815,-,transcriptional regulator Mce1R,YP_177700.2,669
NC_000962.3,Rv0166,Rv0166,fadD5,194993,196654,+,fatty-acid--CoA ligase FadD5,NP_214680.1,1662
NC_000962.3,Rv0167,Rv0167,yrbE1A,196861,197655,+,membrane protein,NP_214681.1,795
NC_000962.3,Rv0168,Rv0168,yrbE1B,197660,198526,+,membrane protein,NP_214682.1,867
NC_000962.3,Rv0169,Rv0169,mce1A,198534,199895,+,Mce family protein Mce1A,YP_177701.1,1362
NC_000962.3,Rv0170,Rv0170,mce1B,199895,200932,+,Mce family protein Mce1B,NP_214684.1,1038
NC_000962.3,Rv0171,Rv0171,mce1C,200932,202476,+,Mce family protein Mce1C,NP_214685.1,1545
NC_000962.3,Rv0172,Rv0172,mce1D,202476,204065,+,Mce family protein Mce1D,NP_214686.1,1590
NC_000962.3,Rv0173,Rv0173,lprK,204065,205234,+,Mce family lipoprotein LprK,NP_214687.1,1170
NC_000962.3,Rv0174,Rv0174,mce1F,205231,206775,+,Mce family protein Mce1F,NP_214688.1,1545
NC_000962.3,Rv0175,Rv0175,,206814,207452,+,Mce associated membrane protein,NP_214689.3,639
NC_000962.3,Rv0176,Rv0176,,207452,208417,+,Mce associated transmembrane protein,NP_214690.1,966
NC_000962.3,Rv0177,Rv0177,,208417,208968,+,Mce associated protein,NP_214691.1,552
NC_000962.3,Rv0178,Rv0178,,208938,209669,+,Mce associated membrane protein,NP_214692.1,732
NC_000962.3,Rv0179c,Rv0179c,lprO,209706,210812,-,lipoprotein LprO,NP_214693.1,1107
NC_000962.3,Rv0180c,Rv0180c,,210895,212250,-,transmembrane protein,NP_214694.1,1356
NC_000962.3,Rv0181c,Rv0181c,,212280,213011,-,hypothetical protein,NP_214695.1,732
NC_000962.3,Rv0182c,Rv0182c,sigG,213031,214140,-,ECF RNA polymerase sigma factor SigG,NP_214696.1,1110
NC_000962.3,Rv0183,Rv0183,,214088,214924,+,lysophospholipase,NP_214697.2,837
NC_000962.3,Rv0184,Rv0184,,214969,215715,+,hypothetical protein,NP_214698.1,747
NC_000962.3,Rv0185,Rv0185,,215715,216221,+,hypothetical protein,NP_214699.1,507
NC_000962.3,Rv0186,Rv0186,bglS,216269,218341,+,beta-glucosidase BglS,NP_214700.1,2073
NC_000962.3,Rv0186A,Rv0186A,mymT,218393,218551,-,metallothionein,YP_004837046.2,159
NC_000962.3,Rv0187,Rv0187,,218705,219364,+,O-methyltransferase,NP_214701.1,660
NC_000962.3,Rv0188,Rv0188,,219486,219914,+,transmembrane protein,NP_214702.1,429
NC_000962.3,Rv0189c,Rv0189c,ilvD,219999,221723,-,dihydroxy-acid dehydratase,NP_214703.1,1725
NC_000962.3,Rv0190,Rv0190,,221871,222158,+,hypothetical protein,NP_214704.1,288
NC_000962.3,Rv0191,Rv0191,,222289,223527,+,MFS-type transporter,NP_214705.1,1239
NC_000962.3,Rv0192,Rv0192,,223564,224661,+,hypothetical protein,NP_214706.1,1098
NC_000962.3,Rv0193c,Rv0193c,,224727,226571,-,hypothetical protein,NP_214707.1,1845
NC_000962.3,Rv0194,Rv0194,,226878,230459,+,multidrug ABC transporter ATPase/permease,NP_214708.1,3582
NC_000962.3,Rv0195,Rv0195,,230899,231531,+,two component transcriptional regulator,NP_214709.1,633
NC_000962.3,Rv0196,Rv0196,,231647,232228,+,HTH-type transcriptional regulator,NP_214710.1,582
NC_000962.3,Rv0197,Rv0197,,232231,234516,+,oxidoreductase,NP_214711.1,2286
NC_000962.3,Rv0198c,Rv0198c,zmp1,234519,236507,-,zinc metalloprotease,NP_214712.1,1989
NC_000962.3,Rv0199,Rv0199,,236550,237206,+,membrane protein,NP_214713.1,657
NC_000962.3,Rv0200,Rv0200,,237206,237892,+,transmembrane protein,NP_214714.1,687
NC_000962.3,Rv0201c,Rv0201c,,237895,238395,-,hypothetical protein,NP_214715.1,501
NC_000962.3,Rv0202c,Rv0202c,mmpL11,238395,241292,-,transmembrane transport protein MmpL11,NP_214716.1,2898
NC_000962.3,Rv0203,Rv0203,,241514,241921,+,hypothetical protein,NP_214717.1,408
NC_000962.3,Rv0204c,Rv0204c,,241979,243214,-,transmembrane protein,NP_214718.2,1236
NC_000962.3,Rv0205,Rv0205,,243384,244484,+,transmembrane protein,NP_214719.1,1101
NC_000962.3,Rv0206c,Rv0206c,mmpL3,244487,247318,-,transmembrane transport protein MmpL3,NP_214720.1,2832
NC_000962.3,Rv0207c,Rv0207c,,247387,248112,-,hypothetical protein,NP_214721.1,726
NC_000962.3,Rv0208c,Rv0208c,,248118,248906,-,tRNA (guanine-N(7)-)-methyltransferase,NP_214722.1,789
NC_000962.3,Rv0209,Rv0209,,249038,250120,+,hypothetical protein,NP_214723.1,1083
NC_000962.3,Rv0210,Rv0210,,250120,251595,+,hypothetical protein,NP_214724.1,1476
NC_000962.3,Rv0211,Rv0211,pckA,251782,253599,+,phosphoenolpyruvate carboxykinase,NP_214725.1,1818
NC_000962.3,Rv0212c,Rv0212c,nadR,253672,254640,-,transcriptional regulator NadR,NP_214726.1,969
NC_000962.3,Rv0213c,Rv0213c,,254640,255950,-,methyltransferase,NP_214727.1,1311
NC_000962.3,Rv0214,Rv0214,fadD4,256064,257674,+,fatty-acid--CoA ligase FadD4,NP_214728.1,1611
NC_000962.3,Rv0216,Rv0216,,258913,259923,+,hydratase,NP_214730.1,1011
NC_000962.3,Rv0217c,Rv0217c,lipW,259926,260831,-,esterase LipW,NP_214731.1,906
NC_000962.3,Rv0218,Rv0218,,260924,262249,+,transmembrane protein,NP_214732.1,1326
NC_000962.3,Rv0219,Rv0219,,262254,262799,+,transmembrane protein,NP_214733.1,546
NC_000962.3,Rv0220,Rv0220,lipC,262812,264020,+,esterase LipC,NP_214734.1,1209
NC_000962.3,Rv0221,Rv0221,,264067,265473,+,diacyglycerol O-acyltransferase,NP_214735.1,1407
NC_000962.3,Rv0222,Rv0222,echA1,265507,266292,+,enoyl-CoA hydratase EchA1,NP_214736.1,786
NC_000962.3,Rv0223c,Rv0223c,,266304,267764,-,aldehyde dehydrogenase,NP_214737.1,1461
NC_000962.3,Rv0224c,Rv0224c,,267866,268627,-,methyltransferase,NP_214738.1,762
NC_000962.3,Rv0225,Rv0225,,268663,269814,+,hypothetical protein,NP_214739.1,1152
NC_000962.3,Rv0226c,Rv0226c,,269837,271564,-,transmembrane protein,NP_214740.1,1728
NC_000962.3,Rv0227c,Rv0227c,,271577,272839,-,membrane protein,NP_214741.1,1263
NC_000962.3,Rv0228,Rv0228,,273055,274275,+,acyltransferase,NP_214742.1,1221
NC_000962.3,Rv0229c,Rv0229c,,274309,274719,-,hypothetical protein,NP_214743.2,411
NC_000962.3,Rv0230c,Rv0230c,php,274986,275963,-,phosphotriesterase,NP_214744.1,978
NC_000962.3,Rv0231,Rv0231,fadE4,276058,277761,+,acyl-CoA dehydrogenase FadE4,NP_214745.1,1704
NC_000962.3,Rv0232,Rv0232,,277899,278585,+,transcriptional regulator,NP_214746.1,687
NC_000962.3,Rv0233,Rv0233,nrdB,278585,279526,+,ribonucleoside-diphosphate reductase subunit beta NrdB,NP_214747.1,942
NC_000962.3,Rv0234c,Rv0234c,gabD1,279608,281140,-,succinate-semialdehyde dehydrogenase,NP_216247.2,1533
NC_000962.3,Rv0235c,Rv0235c,,281169,282614,-,transmembrane protein,NP_214749.1,1446
NC_000962.3,Rv0236c,Rv0236c,aftD,282652,286851,-,alpha-(1->3)-arabinofuranosyltransferase,NP_214750.1,4200
NC_000962.3,Rv0236A,Rv0236A,,286901,287071,-,hypothetical protein,YP_177619.1,171
NC_000962.3,Rv0237,Rv0237,lpqI,287186,288349,+,lipoprotein LpqI,YP_177702.1,1164
NC_000962.3,Rv0238,Rv0238,,288428,289039,+,transcriptional regulator,NP_214752.1,612
NC_000962.3,Rv0239,Rv0239,vapB24,289104,289334,+,antitoxin VapB24,NP_214753.1,231
NC_000962.3,Rv0240,Rv0240,vapC24,289345,289779,+,ribonuclease VapC24,NP_214754.1,435
NC_000962.3,Rv0241c,Rv0241c,htdX,289815,290654,-,3-hydroxyacyl-thioester dehydratase HtdX,NP_214755.1,840
NC_000962.3,Rv0242c,Rv0242c,fabG4,290668,292029,-,3-oxoacyl-ACP reductase FabG,NP_214756.1,1362
NC_000962.3,Rv0243,Rv0243,fadA2,292171,293490,+,acetyl-CoA acetyltransferase FadA,NP_214757.1,1320
NC_000962.3,Rv0244c,Rv0244c,fadE5,293801,295633,-,acyl-CoA dehydrogenase FadE5,NP_214758.1,1833
NC_000962.3,Rv0245,Rv0245,,296005,296490,+,oxidoreductase,NP_214759.1,486
NC_000962.3,Rv0246,Rv0246,,296809,298116,+,integral membrane protein,NP_214760.1,1308
NC_000962.3,Rv0247c,Rv0247c,,298119,298862,-,succinate dehydrogenase iron-sulfur subunit,NP_214761.1,744
NC_000962.3,Rv0248c,Rv0248c,,298866,300803,-,succinate dehydrogenase flavoprotein subunit,NP_214762.1,1938
NC_000962.3,Rv0249c,Rv0249c,,300837,301655,-,succinate dehydrogenase membrane anchor subunit,NP_214763.1,819
NC_000962.3,Rv0250c,Rv0250c,,301738,302028,-,hypothetical protein,NP_214764.1,291
NC_000962.3,Rv0251c,Rv0251c,hsp,302176,302652,-,heat shock protein,NP_214765.1,477
NC_000962.3,Rv0252,Rv0252,nirB,302866,305424,+,nitrite reductase large subunit NirB,NP_214766.1,2559
